name
Pulse
Egg
Expensive
Curry
Pie
Sandwich
Alcoholic
Warm
Vegetables
Meat
Bun
MainMeal
Nutty
Chocolate
Savory
 Soup
Shellfish
Fresh
Sour
Brunch
Fish
Vegan
BBQ
Halloween
Sausages
Fusion
Treat
Fruity
Baking
StrongFlavor
Caramel
DateNight
Casserole
Seafood
Greasy
Desert
Light
 Onthego
Stew
Glazed
Christmas
HangoverFood
Paleo
HighFat
Pasta
SideDish
Speciality
Breakfast
DinnerParty
Mild
LowCarbs
Vegetarian
LowCalorie
Tart
Chilli
Streetfood
Spicy
Soup
Sweet
Paella
Keto
heavy
Dairy
Warming
Easter
Cake
Calorific
Heavy
Snack
UnHealthy
Cheasy
Salad
 Beans
Pudding
Summer
