id,ingredient_name,meal_id,measure
1,whole wheat,1,300g soaked overnight in water
2,lamb loin chops,1,2kg cut into 3cm cubes
3,olive oil,1,120ml
4,shallots,1,24 Skinned
5,carrots,1,4 large
6,turnips,1,2
7,celeriac,1,1
8,charlotte potatoes,1,350g
9,white wine,1,150ml
10,caster sugar,1,1 tsp
11,fresh thyme,1,4 sprigs
12,oregano,1,4 sprigs
13,chicken stock,1,450ml
14,Double Cream,2,568ml
15,White Chocolate Chips,2,100g 
16,Vanilla,2,Pod of
17,Egg Yolks,2,6
18,Caster Sugar,2,2 tbs
19,Caster Sugar,2,Top
20,Pork,3,1lb
21,Garlic Clove,3,3 chopped
22,Ginger,3,1 tsp 
23,Soy Sauce,3,1 tbs
24,Sesame Seed Oil,3,1 tsp 
25,Carrots,3,3 finely chopped
26,Celery,3,3 finely chopped
27,Spring Onions,3,6 chopped
28,Wonton Skin,3,1 Packet
29,Oil,3,Fry
30,Water,3,Bottle
31,Flour,4,450g
32,Caster Sugar,4,55g
33,Yeast,4,2 parts 
34,Salt,4,1/2 tsp
35,Milk,4,6 oz 
36,Eggs,4,2 Beaten 
37,Butter,4,30g
38,Walnuts,4,140g
39,Butter,4,85g
40,Brown Sugar,4,85g
41,Cinnamon,4,1 tsp 
42,Milk,4,To Glaze
43,Icing Sugar,4,To Glaze
44,soy sauce,5,3/4 cup
45,water,5,1/2 cup
46,brown sugar,5,1/4 cup
47,ground ginger,5,1/2 teaspoon
48,minced garlic,5,1/2 teaspoon
49,cornstarch,5,4 Tablespoons
50,chicken breasts,5,2
51,stir-fry vegetables,5,1 (12 oz.)
52,brown rice,5,3 cups
53,lemons,6,2 Juice
54,paprika,6,4 tsp
55,red onions,6,2 finely chopped
56,chicken thighs,6,16 skinnless
57,vegetable oil,6,For brushing
58,Greek yogurt,6,300ml 
59,ginger,6,large piece
60,garlic clove,6,4
61,garam masala,6,¾ tsp
62,ground cumin,6,¾ tsp
63,chilli powder,6,½ tsp
64,turmeric,6,¼ tsp
65,potatoes,7,225g new
66,green beans,7,100g 
67,sunflower oil,7,1 tbsp
