id,ingredient_name,meal_id,measure
68,garlic,7,1 clove
69,Thai green curry paste,7,4 tsp 
70,coconut milk,7,400ml
71,Thai fish sauce,7,2 tsp
72,Sugar,7,1 tsp
73,Chicken,7,450g boneless
74,lime,7,2 fresh kaffir leaves
75,basil,7,handfull
76,Rice,7,Boiled
77,sausages,8,8
78,vegetable oil,8,3 tbsp
79,plain flour,8,100g
80,eggs,8,2 medium
81,horseradish,8,1 tbsp grated
82,milk,8,225ml
83,cherry tomatoes,8,200g
84,Olive Oil,9,1 tblsp 
85,Onion,9,1 large
86,Garlic,9,1 clove peeled crushed
87,Worcestershire Sauce,9,2 tblsp 
88,Tomato Puree,9,3 tsp
89,Turkey Mince,9,500g
90,Eggs,9,1 large
91,Breadcrumbs,9,85g
92,Barbeque Sauce,9,2 tblsp 
93,Cannellini Beans,9,800g
94,Parsley,9,2 tblsp 
95,Potatoes,10,450g
96,Olive Oil,10,2 tblsp 
97,Eggs,10,4
98,Red Wine Vinegar,10,1 tbls
99,Capers,10,2 tblsp 
100,Sunflower Oil,10,50g
101,Red Onions,10,½
102,Spinach,10,100g 
103,Tuna,10,400g
104,Tahini,11,50g
105,Lemon,11,zest and juice of 1
106,Olive Oil,11,2 tblsp 
107,Red Onions,11,1 chopped
108,Garlic,11,1 clove peeled crushed
109,Yellow Pepper,11,1 thinly sliced
110,Green Beans,11,200g
111,Courgettes,11,1 sliced
112,Kale,11,100g shredded
113,Lentils,11,250g pack
114,Potatoes,12,1kg
115,Butter,12,Knob
116,Milk,12,Dash
117,Gruyère,12,50g
118,Butter,12,75g
119,Leek,12,2 sliced
120,Plain Flour,12,75g
121,White Wine,12,150ml
122,Milk,12,568ml
123,Parsley,12,2 tbs chopped
124,Salmon,12,250g
125,Haddock,12,250g
126,Smoked Haddock,12,250g
127,Eggs,12,6
128,Plain Flour,13,250g
129,Butter,13,135g
130,Golden Syrup,13,400g
131,Breadcrumbs,13,150g
132,Lemons,13,Zest of 2
133,Eggs,13,1 beaten
134,Puff Pastry,14,300g
135,Plain Flour,14,Dusting
136,Braeburn Apples,14,6
137,Caster Sugar,14,100g 
138,Butter,14,85g
139,Creme Fraiche,14,to serve
140,Butter,15,50g
141,Parmesan,15,25g
142,Milk,15,300ml 
143,Bay Leaves,15,2
144,Plain Flour,15,5 tbs
145,English Mustard,15,½ tsp
146,Cayenne Pepper,15,Pod of
147,Gruyère,15,140g
148,Eggs,15,3
149,Goats Cheese,15,8 slices
150,Double Cream,15,150ml
151,Spinach,15,to serve
152,Potatoes,16,1 medium
153,Sunflower Oil,16,1 tsp 
154,Minced Pork,16,500g
155,Onion,16,1 finely chopped 
156,Garlic Clove,16,1 finely chopped 
157,Cinnamon,16,¼ tsp
158,Allspice,16,¼ tsp
159,Nutmeg,16,¼ tsp
160,Vegetable Stock,16,100ml
161,Shortcrust Pastry,16,400g
162,Egg,16,To Glaze
163,Flour,17,2 cups 
164,Sugar,17,1/3 cup
165,Baking Powder,17,3 tsp
166,Salt,17,½ tsp
167,Egg,17,1 beaten
168,Milk,17,¾ cup
169,Oil,17,3 tbs
170,Oil,17,for frying
171,Icing Sugar,17,garnish
172,Orange,18,1 large
173,Caster Sugar,18,300g
174,Olive Oil,18,75 ml 
175,Flour,18,280g
176,Baking Powder,18,1 tbs
177,Eggs,18,4 large
178,Vanilla Extract,18,2 tsp
179,Lamb Mince,19,500g
180,Garlic,19,2 cloves minced
181,Onion,19,1
182,Spinach,19,300g
183,Tomato Puree,19,3 tbs
184,Cumin,19,1 tbs
185,Chicken Stock,19,1 Litre
186,Harissa Spice,19,3 tsp
187,Chickpeas,19,400g
188,Lemon Juice,19,1/2 
189,Macaroni,19,150g
190,Salt,19,Pinch
191,Pepper,19,Pinch
192,Olive Oil,20,2 tbs
193,Spring Onions,20,8
194,Spinach,20,200g
195,Filo Pastry,20,4
196,Tuna,20,1 can 
197,Eggs,20,2
198,Hotsauce,20,Dash
199,Tomatoes,20,4 Chopped
200,Cucumber,20,1/4 
201,Lemon Juice,20,1 tbs
202,Apricot Jam,20,4 tbs
203,Broad Beans,21,3 cups 
204,Spring Onions,21,6
205,Garlic Clove,21,4
206,Parsley,21,1/4 cup
207,Cumin,21,2 tsp
208,Baking Powder,21,1 tsp 
209,Cayenne Pepper,21,1/2 tsp
210,Flour,21,Spinkling
211,Vegetable Oil,21,As required
212,Pork Chops,22,4
213,Flour,22,100g 
214,Eggs,22,2 Beaten 
215,Breadcrumbs,22,100g 
216,Vegetable Oil,22,Fry
217,Tomato Ketchup,22,2 tbs
218,Worcestershire Sauce,22,2 tbs
219,Oyster Sauce,22,1 tbs
220,Caster Sugar,22,2 tblsp 
221,Beef,23,500g
222,Onions,23,2 chopped
223,Carrots,23,2 chopped
224,Garlic,23,2 cloves
225,Bay Leaf,23,2
226,Red Wine,23,200ml
227,Water,23,2 Litres
228,Mustard,23,3 tbs
229,Salt,23,1tbsp
230,Pepper,23,1/2 tsp
231,Paprika,23,1/2 tsp
232,Vegetable Oil,23,2 tbs
233,Toor dal,24,1 cup
234,Water,24,2-1/2 cups
235,Salt,24,1 tsp
236,Turmeric,24,1/4 tsp
237,Ghee,24,3 tbs
238,Chopped tomatoes,24,1 cup
239,Cumin seeds,24,1/2 tsp
240,Mustard Seeds,24,1/2 tsp
241,Bay Leaf,24,2
242,Green Chili,24,1 tbs chopped
243,Ginger,24,2 tsp shredded
244,Cilantro,24,2 tbs 
245,Red Pepper,24,1/2 tsp
246,Salt,24,1/2 tsp
247,Sugar,24,1 tsp
248,Garam Masala,24,1/4 tsp
249,Almonds,25,100g 
250,Butter,25,180g
251,Muscovado Sugar,25,180g
252,Orange,25,Zest of 1
253,Apricot Jam,25,3 tbs
254,Plain Flour,25,225g
255,Baking Powder,25,1 tsp 
256,Eggs,25,3 Large
257,Ground Almonds,25,100g 
258,Milk,25,2 tbs
259,Dried Fruit,25,500g
260,Glace Cherry,25,100g 
261,Milk,25,1 tbs
262,Caster Sugar,25,2 tsp
263,Sea Salt,26,Handful
264,Bay Leaf,26,4
265,Garlic,26,4 cloves
266,Thyme,26,Handful
267,Duck Legs,26,4
268,White Wine,26,100ml
269,green red lentils,27,1 cups
270,carrot,27,1
271,onion,27,1
272,zucchini,27,1 small
273,coriander,27,sprinking
274,spinach,27,150g
275,lasagne sheets,27,10
276,vegan butter,27,35g
277,flour,27,4 tablespoons
278,soya milk,27,300ml
279,mustard,27,1.5 teaspoons
280,vinegar,27,1 teaspoon
281,self raising flour,28,1 1/4 cup
282,coco sugar,28,1/2 cup
283,cacao,28,1/3 cup raw
284,baking powder,28,1 tsp
285,flax eggs,28,2
286,almond milk,28,1/2 cup
287,vanilla,28,1 tsp
288,water,28,1/2 cup boiling
289,Pork,29,1.5 pounds sliced
290,Rice Vermicelli,29,1 package thin
291,Egg Rolls,29,4-6
292,Challots,29,3 tablespoons minced
293,Garlic,29,1.5 tablespoons minced garlic
294,Sugar,29,¼ cup
295,Fish Sauce,29,1 tablespoon
296,Soy sauce,29,½ tablespoon thick
297,Pepper,29,½ tablespoon
298,Olive Oil,29,3 tablespoons
299,Cucumber,29,Sliced
300,Mint,29,Leaves
301,Peanuts,29,Crushed
302,Olive Oil,30,1 tbls
303,Duck Legs,30,4
304,Onions,30,2 finely chopped
305,Garlic,30,2 cloves minced
306,Cinnamon,30,2 tsp ground
307,Plain Flour,30,2 tsp
308,Red Wine,30,250ml
309,Chopped Tomatoes,30,800g
310,Chicken Stock Cube,30,1
311,Rosemary,30,3 sprigs
312,Bay Leaves,30,2
313,Sugar,30,1 tsp 
314,Milk,30,2 tbs
315,Paccheri Pasta,30,600g
316,Parmesan Cheese,30,Grated
317,Rapeseed Oil,31,1
318,Onion,31,1
319,Garlic,31,3 cloves
320,Paprika,31,1 tsp 
321,Cumin,31,½ tsp
322,Thyme,31,1 tblsp 
323,Carrots,31,3 Medium
324,Celery,31,2 small stalks
325,Red Pepper,31,1
326,Yellow Pepper,31,1
327,Tomato,31,2 x 400g tins
328,Vegetable Stock Cube,31,250ml
329,Courgettes,31,2 sliced
330,Thyme,31,2 sprigs
331,Lentils,31,250g
332,Roasted Vegetables,32,400g
333,Kidney Beans,32,1 can 
334,Chopped Tomatoes,32,1 can 
335,Mixed Grain,32,1 Packet
336,Potatoes,33,3 Lbs
337,Small Potatoes,33,3 Lbs
338,Salted Butter,33,1/2 cup 
339,Mushrooms,33,1 oz 
340,Brown Lentils,33,3/4 cup 
341,Garlic,33,6 cloves
342,Kosher Salt,33,1 tsp 
343,Onion,33,3 cups 
344,Tomato Puree,33,2 tbsp
345,Bay Leaves,33, 
346,Olive Oil,33, 
347,Dry White Wine,33,2 cups 
348,Vegetable Stock,33,8 cups 
349,Cornstarch,33,2 tbsp
350,Soy Sauce,33,2 tsp
351,Rosemary,33,2 sprigs
352,Parsley,33, 
353,Sage,33, 
354,Chives,33, 
355,mozzarella balls,34,200 g
356,baby plum tomatoes,34,250 g
357,fresh basil,34,1  bunch
358,farfalle,34,350 g
359,extra virgin olive oil,34,3  tablespoons
360,Green Olives,34,40 g
361,tuna,34,200 g
362,salt,34,to taste
363,pepper,34,to taste
364,Peanuts,35,85g
365,Coconut cream,35,400ml can
366,Massaman curry paste,35,4 tbsp
367,Beef,35,600g stewing cut into strips
368,Potatoes,35,450g waxy
369,Onion,35,1 cut thin wedges
370,Lime,35,4 leaves
371,Cinnamon stick,35,1
372,Tamarind paste,35,1 tbsp
373,Brown sugar,35,1 tbsp palm or soft light
374,Fish Sauce,35,1 tbsp
375,chilli,35,"1 red deseeded and finely sliced, to serve"
376,Jasmine Rice,35,to serve
377,Mushrooms,36,30g
378,Chestnuts,36,240g
379,Challots,36,3
380,Garlic,36,3 cloves
381,Rosemary,36,3 sprigs
382,Wild Mushrooms,36,500g
383,Soy Sauce,36,2 tblsp 
384,White Wine,36,125ml 
385,Lasagne Sheets,36,350g
386,Breadcrumbs,36,4 tbsp
387,Sage,36,1/2 handful 
388,Truffle Oil,36,to serve
389,Sunflower Oil,37,1 tbls
390,Paneer,37,225g
391,Ginger,37,2
392,Cumin,37,1 tsp 
393,Turmeric,37,1 tsp 
394,Coriander,37,1 tsp 
395,Green Chilli,37,1
396,Tomato,37,4 large
397,Peas,37,150g
398,Garam Masala,37,1 tsp 
399,Coriander,37,Small bunch
400,Naan Bread,37,to serve
401,Vegetable Oil,38,2 tbs
402,Minced Beef,38,500g
403,Onion,38,1 chopped
404,Tomato Puree,38,1 tbls
405,Plain Flour,38,1 ½ tbsp
406,Mushrooms,38,75g
407,Beef Stock,38,250ml
408,Worcestershire Sauce,38,Dash
409,Shortcrust Pastry,38,400g
410,Egg Yolks,38,1
411,Cumin,39,2 tsp
412,Rapeseed Oil,39,1 tbs
413,Red Onions,39,2 finely chopped
414,Garlic Clove,39,6
415,Green Chilli,39,3 finely chopped
416,Red Pepper,39,1 finely chopped 
417,Nutmeg,39,1 tsp 
418,Coriander,39,2 tsp
419,Lamb Mince,39,1kg
420,Pepper,39,1 tsp 
421,Coriander,39,3 tbs
422,Plain Flour,39,340g
423,Salt,39,½ tsp
424,Milk,39,90 ml 
425,Lard,39,150g
426,Egg Yolks,39,Beaten
427,Butter,40,175g
428,Caster Sugar,40,175g
429,Eggs,40,3
430,Self-raising Flour,40,250g
431,Milk,40,3 tbs
432,Lemon,40,Zest of 1
433,Mixed Peel,40,To Glaze
434,Beef Brisket,41,1
435,Salt,41,3 tbs
436,Black Pepper,41,3 tbs
437,Coriander,41,1 tbs
438,Sugar,41,1 tbs
439,Bay Leaf,41,1 tsp 
440,Cloves,41,1 tsp 
441,Black Pepper,41,3 tbs
442,Coriander,41,1 tbs
443,Paprika,41,1 tbs
444,Garlic,41,1 tbs
445,Onion,41,1 tbs
446,Dill,41,1 tbs
447,English Mustard,41,1 tsp 
448,Celery Salt,41,1 tbs
449,Red Pepper Flakes,41,1 tsp 
450,Tofu,42,450g
451,Minced Beef,42,100g 
452,Sesame Seed Oil,42,1/2 tbs
453,Doubanjiang,42,1 1/2 tsp 
454,Fermented Black Beans,42,1/2 tsp
455,Pepper,42,1 tbs
456,Salt,42,1/2 tsp
457,Sichuan pepper,42,1/2 tsp
458,Soy Sauce,42,1 tbs
459,Water,42,400ml
460,Olive Oil,42,2 tbs
461,Scallions,42,2 chopped
462,Spring Onions,42,4
463,Garlic,42,2 cloves chopped
464,Ginger,42,4 sliced
465,Water,42,2 1/2 tbs
466,Cornstarch,42,1 tbs
467,Goat Meat,43,1 kg
468,Corn Flour,43,1 kg
469,Tomatoes,43,2
470,Salt,43,Pinch
471,Onion,43,1
472,Green Chilli,43,1
473,Coriander Leaves,43,1  bunch
474,Butter,44,225g
475,Plain Flour,44,350g
476,Caster Sugar,44,100g 
477,Mincemeat,44,280g
478,Egg,44,1 small
479,Icing Sugar,44,Topping
480,Beef,45,500g
481,Aubergine,45,1 large
482,Greek Yogurt,45,150g
483,Egg,45,1 beaten
484,Parmesan,45,3 tbs
485,Tomato,45,400g
486,Tomato Puree,45,4 tbs
487,Potatoes,45,350g
488,Mulukhiyah,46,800g
489,Onion,46,1 chopped
490,Beef,46,300g
491,Salt,46,1 tsp 
492,Water,46,1 Litre
493,Garlic Clove,46,1
494,Olive Oil,46,1/2 cup 
495,Potatoes,47,1kg
496,Milk,47,200ml
497,Butter,47,50g
498,Mustard,47,2 tbs
499,Spring Onions,47,Bunch
500,Spring Onions,47,Bunch
501,Carrots,48,6 chopped
502,Onion,48,1 sliced
503,Garlic Clove,48,4
504,Cumin,48,1 tsp 
505,Coriander,48,1/2 tsp
506,Olive Oil,48,1 tbs
507,Garam Masala,48,1/4 tsp
508,Lemon Juice,48,1 tsp 
509,Peanuts,49,50g
510,Chilli,49,15g
511,Prawns,49,10g
512,Oil,49,5 tbs
513,Water,49,750 ml 
514,Tamarind Paste,49,1/2 tbs
515,Potatoes,49,250g
516,Red Onions,49,2
517,Garlic Clove,49,4
518,Cabbage,49,30g
519,Chinese Broccoli,49,30g
520,Tofu,49,1
521,Soy Sauce,49,1 tbs
522,Noodles,49,4
523,Egg,49,1
524,Mushrooms,50,150g
525,Buckwheat,50,50g
526,Vegetable Oil,50,4 tbs
527,Onion,50,40g
528,Garlic,50,2 cloves
529,Bay Leaf,50,1
530,Vegetable Stock Cube,50,1tbsp
531,Sour Cream,50,50 ml 
532,White Wine Vinegar,50,Dash
533,Parsley,50,Top
534,olive oil,51,2 tbsp
535,ginger,51,4cm piece finely chopped
536,garlic,51,2 cloves peeled and chopped
537,tomatoes,51,800g peeled and chopped 
538,lemon juice,51,2 tbsp
539,caster sugar,51,1 tsp
540,vine leaves,51,50
541,fennel bulb,51,1 large
542,lamb mince,51,400g
543,onion,51,1 medium
544,potato,51,1 small peeled and coarsely grated
545,basmati rice,51,2 tbsp
546,chopped parsley,51,2 tbsp
547,coriander,51,2 tbsp chopped
548,lemon juice,51,1 tbsp
549,garlic,51,2 cloves
550,clove,51,½ tsp ground
551,cinnamon,51,½ tsp ground 
552,tomatoes,51,2 medium
553,Cashew nuts,52,12
554,Khus khus,52,½ tbsp
555,Cumin seeds,52,½ tbsp
556,Onions,52,3 sliced thinly
557,Ginger garlic paste,52,2 tsp
558,Garlic,52,4 whole
559,Mint,52,Leaves
560,Cilantro,52,Leaves
561,Saffron,52,½ tsp dissolved in ½ cup warm milk
562,Ghee,52,2 tbsp
563,Basmati rice,52,2 Cups
564,Full fat yogurt,52,½ cup
565,Cumin Seeds,52,1 tbsp
566,Bay leaf,52,½
567,Cinnamon,52,1 thin piece
568,Cloves,52,3
569,Cardamom,52,2
570,Lamb,52,1 lb
571,Red Chilli powder,52,1 tsp
572,Biryani masala,52,1 tbsp
573,Onion,53,2 quartered
574,Sunflower Oil,53,4 tbsp
575,Garlic,53,4 cloves
576,Ginger,53,Thumb sized peeled and very finely grated
577,Madras Paste,53,2 tbsp
578,Paprika,53,2 tsp
579,cinnamon stick,53,1
580,Cardamom,53,6 bashed to break shells
581,Clove,53,4
582,Bay Leaf,53,2
583,Tomato Purée,53,1 tbsp
584,Lamb,53,1kg cubed
585,Greek yogurt,53,150ml
586,Coriander,53,Garnish chopped 
587,Olive Oil,54,1 tbsp
588,red chili,54,1 finely sliced
589,Thai red curry paste,54,2 ½ tbsp
590,vegetable stock cube,54,1
591,coconut milk,54,400ml can
592,fish sauce,54,2 tsp
593,rice noodles,54,100g
594,lime,54,"2 juice of 1, the other halved"
595,king prawns,54,150g
596,coriander,54,½ small pack
597,Olive Oil,55,2 tblsp 
598,Onion,55,1 finely sliced
599,Carrots,55,2 chopped
600,Lamb Leg,55,500g
601,Garlic,55,2 cloves minced
602,Cumin,55,½ tsp
603,Ginger,55,½ tsp
604,Saffron,55,¼ tsp
605,Cinnamon,55,1 tsp 
606,Honey,55,1 tblsp 
607,Apricot,55,100g 
608,Vegetable Stock Cube,55,1
609,Butternut Squash,55,1 medium chopped
610,Couscous,55,Steamed
611,Parsley,55,Chopped
612,Olive Oil,56,1 tblsp 
613,Bacon,56,2
614,Onion,56,1 finely chopped 
615,Celery,56,1 Stick
616,Carrots,56,1 medium
617,Garlic,56,2 cloves chopped
618,Minced Beef,56,500g
619,Tomato Puree,56,1 tbls
620,Chopped Tomatoes,56,800g
621,Honey,56,1 tblsp 
622,Lasagne Sheets,56,500g
623,Creme Fraiche,56,400ml
624,Mozzarella Balls,56,125g
625,Parmesan Cheese,56,50g
626,Basil Leaves,56,Topping
627,Lamb Shoulder,57,500g
628,Flour,57,1 tbls
629,Vegetable Oil,57,Dash
630,Onion,57,1 sliced
631,Carrots,57,2 sliced
632,Vegetable Stock,57,350ml/12fl
633,Potatoes,57,500g
634,Shortcrust Pastry,57,450g
635,Eggs,57,To Glaze
636,Butter,58,100g 
637,Lamb,58,900g
638,Lamb Kidney,58,3
639,Onions,58,2 medium
640,Carrots,58,4 sliced
641,Plain Flour,58,25g
642,Worcestershire Sauce,58,2 tsp
643,Chicken Stock,58,500ml
644,Bay Leaves,58,2
645,Potatoes,58,900g
646,Olive Oil,59,2 tbs
647,Onion,59,1 medium finely diced
648,Chickpeas,59,250g
649,Vegetable Stock,59,1.5L
650,Cumin,59,1 tsp 
651,Garlic,59,5 cloves
652,Salt,59,1/2 tsp
653,Harissa Spice,59,1 tsp 
654,Pepper,59,Pinch
655,Lime,59,1/2 
656,Sour Cream,60,1/4 cup
657,Chopped Onion,60,2 tbs
658,Dried Oregano,60,1/2 tbs
659,Salt,60,1/4 tsp
660,Bread,60,8 slices
661,Bacon,60,8 slices
662,Tomato,60,8 slices
663,Mozzarella,60,4 slices
664,Butter,60,2 1/2 Tbs
665,Garlic,61,2 cloves
666,Sea Salt,61,2 tsp
667,Olive Oil,61,4 tbs
668,Lemon,61,Zest and juice of 1
669,Dill,61,1 tbs
670,Lamb Leg,61,750g
671,Pita Bread,61,To serve
672,Bulgur Wheat,62,25g
673,Lamb Mince,62,500g
674,Cumin,62,1 tsp 
675,Coriander,62,1 tsp 
676,Paprika,62,1 tsp 
677,Garlic,62,1 clove finely chopped
678,Olive Oil,62,For frying
679,Bun,62,4
680,Cucumber,62,Grated
681,Greek Yogurt,62,200g
682,Mint,62,2 tbs
683,Raw king prawns,63,500g
684,Olive oil,63,3 tablespoons
685,Chopped onion,63,1
686,Freshly chopped parsley,63,pinch
687,White wine,63,250ml
688,Chopped tomatoes,63,1 (400g) tin
689,Minced garlic,63,1/2 teaspoon
690,Cubed Feta cheese,63,1 (200g) pack
691,Macaroni,64,8 ounces (230 grams)
692,Plain Flour,64,1/3 cup
693,Mustard Powder,64,3/4 teaspoon
694,Garlic powder,64,1/2 teaspoon
695,Kosher salt,64,1/2 teaspoon
696,Black pepper,64,1/2 teaspoon
697,Cayenne pepper,64,1/8 teaspoon
698,Butter,64,6 tablespoons (85 grams)
699,Whole Milk,64,1 1/2 cups (360 milliliters)
700,Heavy Cream,64,1 cup (240 milliliters)
701,Monterey Jack Cheese,64,1 pound (455 grams) 
702,Butter,64,4 tablespoons (55 grams)
703,garlic powder,64,1 teaspoon
704,Bread,64,16 slices square
705,Cheddar Cheese,64,8 slices mild
706,Colby Jack Cheese,64,8 slices
707,Butter,64,4 tablespoons (55 grams)
708,Chicken Breast,65,1 1/2 
709,Plain Flour,65,3/4 cup 
710,Egg,65,1
711,Starch,65,2 tbs
712,Baking Powder,65,1 tbs
713,Salt,65,1 tsp 
714,Onion Salt,65,1/2 tsp
715,Garlic Powder,65,1/4 tsp
716,Water,65,3/4 cup 
717,Chicken Stock,65,1/2 cup 
718,Duck Sauce,65,1/4 cup
719,Soy Sauce,65,3 tbs
720,Honey,65,2 tbs
721,Rice Vinegar,65,1 tbs
722,Sesame Seed Oil,65,2 tbs
723,Gochujang,65,1/2 tbs
724,Starch,65,2 tbs
725,Garlic,65,1 clove
726,Spring Onions,65,2 chopped
727,Ginger,65,1 tsp 
728,Butter Beans,66,400g
729,Olive Oil,66,3 tbs
730,Onion,66,1 chopped
731,Garlic Clove,66,2 chopped
732,Tomato Puree,66,2 tbs
733,Tomatoes,66,800g
734,Sugar,66,1 tbs
735,Dried Oregano,66,1 tbs
736,Cinnamon,66,Pinch
737,Chopped Parsley,66,2 tbs
738,Cabbage,67,1
739,Butter,67,2 tbs
740,Onion,67,1 chopped
741,Ground Beef,67,1 lb
742,Ground Pork,67,1/2 lb
743,Rice,67,1 1/2 cups 
744,Garlic,67,1 tsp 
745,Salt,67,1 tsp 
746,Black Pepper,67,1/4 tsp
747,Tomato Puree,67,3 cans
748,Sardines,68,8
749,Olive Oil,68,2 tbs
750,Garlic,68,3 cloves
751,Paprika,68,1 tbs
752,Lemon,68,1/2 
753,Rosemary,68,4 sprigs
754,Red Chilli,68,1
755,digestive biscuits,69,175g/6oz
756,butter,69,75g/3oz
757,Bramley apples,69,200g/7oz
758,"butter, softened",69,75g/3oz
759,caster sugar,69,75g/3oz
760,"free-range eggs, beaten",69,2
761,ground almonds,69,75g/3oz
762,almond extract,69,1 tsp
763,flaked almonds,69,50g/1¾oz
764,Plain Flour,70,120g
765,Caster Sugar,70,60g
766,Butter,70,60g
767,Braeburn Apples,70,300g
768,Butter,70,30g
769,Demerara Sugar,70,30g
770,Blackberrys,70,120g
771,Cinnamon,70,¼ teaspoon
772,Ice Cream,70,to serve
773,Milk,71,200ml
774,Oil,71,60ml
775,Eggs,71,2
776,Flour,71,1600g
777,Baking Powder,71,3 tsp
778,Salt,71,1/2 tsp
779,Unsalted Butter,71,25g
780,Sugar,71,45g
781,Peanut Butter,71,3 tbs
782,Chicken Thighs,72,6
783,Challots,72,16
784,Ginger,72,1 1/2 
785,Garlic Clove,72,6
786,Cayenne Pepper,72,8
787,Turmeric,72,2 tbs
788,Cumin,72,1 1/2 
789,Coriander,72,1 1/2 
790,Fennel,72,1 1/2 
791,Tamarind Paste,72,2 tbs
792,Coconut Milk,72,1 can 
793,Sugar,72,1 tsp 
794,Water,72,1 cup 
795,Udon Noodles,73,250g
796,Sesame Seed Oil,73,2 tbs
797,Onion,73,1 sliced
798,Cabbage,73,0.25
799,Shiitake Mushrooms,73,10
800,Spring Onions,73,4
801,Mirin,73,4 tbsp
802,Soy Sauce,73,2 tbs
803,Caster Sugar,73,1 tblsp 
804,Worcestershire Sauce,73,1 tblsp 
805,strawberries,74,500g
806,double cream,74,400ml
807,meringue nests,74,3 x 7.5cm
808,ginger cordial,74,1 tbsp
809,Mint,74,sprigs of fresh
810,Butter,75,250g
811,Plain Flour,75,350g
812,Lemon,75,Juice of 1/2
813,Butter,75,25g
814,Currants,75,200g
815,Mixed Peel,75,50g
816,Muscovado Sugar,75,100g 
817,Cinnamon,75,1 tsp 
818,Ginger,75,1 tsp 
819,Allspice,75,1 tsp 
820,Lemon,75,Zest of 1
821,Eggs,75,1 beaten
822,Sugar,75,spinkling
823,Sausages,76,2
824,Bacon,76,3
825,Mushrooms,76,2
826,Tomatoes,76,2
827,Black Pudding,76,1 Slice
828,Eggs,76,2
829,Bread,76,1 Slice
830,Red Snapper,77,2 Pounds
831,Vegetable Oil,77,1/2 cup 
832,Garlic,77,1 clove peeled crushed
833,Ginger,77,1/2 tsp
834,Thyme,77,2 sprigs
835,Bay Leaf,77,1
836,Red Pepper,77,0.5
837,Yellow Pepper,77,0.5
838,Onion,77,1 sliced
839,Carrots,77,1 chopped
840,Sugar,77,1 tbs
841,Allspice,77,1/2 tsp
842,Worcestershire Sauce,77,1 tsp 
843,Scotch Bonnet,77,1
844,Lime,77,1
845,Malt Vinegar,77,3/4 cup 
846,Pepper,77,pinch
847,Chicken Stock,78,3 cups 
848,Salt,78,1/4 tsp
849,Sugar,78,1/4 tsp
850,Pepper,78,pinch
851,Sesame Seed Oil,78,1 tsp 
852,Peas,78,1/3 cup
853,Mushrooms,78,1/3 cup
854,Cornstarch,78,1 tbs
855,Water,78,2 tbs
856,Spring Onions,78,1/4 cup
857,Beef,79,1lb
858,Onion,79,1
859,Chicken Stock Cube,79,1
860,Tomatoes,79,2
861,Garlic Clove,79,4
862,Tomato Puree,79,1 tbs
863,Rice,79,2 cups 
864,Noodles,79,1/4 cup
865,Butter,79,1/4 cup
866,Olive Oil,79,2 cups 
867,Pita Bread,79,1
868,Cumin,79,1 tbs
869,White Wine Vinegar,79,3 tbs
870,Salt,79,To taste
871,Pepper,79,To taste
872,olive oil,80,2½ tbsp
873,Italian fennel sausages,80,6 cut into 1.5cm-thick slices
874,onion,80,1 large peeled and chopped
875,fennel bulb,80,1 trimmed and roughly chopped; reserve any fronds to garnish
876,smoky paprika,80,½ tsp
877,garlic,80,"1 clove, peeled and sliced"
878,fennel seeds,80,2 tsp lightly toasted and then gently crushed
